Liverpool,           4,1,Norwich City
West Ham United,     0,5,Manchester City
Burnley,             3,0,Southampton
Crystal Palace,      0,0,Everton
Watford,             0,3,Brighton & Hove Albion
AFC Bournemouth,          1,1,Sheffield United
Tottenham Hotspur,   3,1,Aston Villa
Leicester City,      0,0,Wolverhampton Wanderers
Newcastle United,    0,1,Arsenal
Manchester United,   4,0,Chelsea
Arsenal,             2,1,Burnley
Aston Villa,         1,2,AFC Bournemouth
Everton,             1,0,Watford
Norwich City,        3,1,Newcastle United
Southampton,         1,2,Liverpool
Brighton & Hove Albion,1,1,West Ham United
Manchester City,     2,2,Tottenham Hotspur
Sheffield United,    1,0,Crystal Palace
Chelsea,             1,1,Leicester City
Wolverhampton Wanderers,1,1,Manchester United
Aston Villa,         2,0,Everton
Norwich City,        2,3,Chelsea
Manchester United,   1,2,Crystal Palace
Sheffield United,    1,2,Leicester City
Brighton & Hove Albion,0,2,Southampton
Watford,             1,3,West Ham United
Liverpool,           3,1,Arsenal
AFC Bournemouth,          1,3,Manchester City
Wolverhampton Wanderers,1,1,Burnley
Tottenham Hotspur,   0,1,Newcastle United
Southampton,         1,1,Manchester United
Manchester City,     4,0,Brighton & Hove Albion
Newcastle United,    1,1,Watford
Chelsea,             2,2,Sheffield United
Leicester City,      3,1,AFC Bournemouth
West Ham United,     2,0,Norwich City
Crystal Palace,      1,0,Aston Villa
Burnley,             0,3,Liverpool
Everton,             3,2,Wolverhampton Wanderers
Arsenal,             2,2,Tottenham Hotspur
Liverpool,           3,1,Newcastle United
Wolverhampton Wanderers,2,5,Chelsea
Tottenham Hotspur,   4,0,Crystal Palace
Manchester United,   1,0,Leicester City
Sheffield United,    0,1,Southampton
Brighton & Hove Albion,1,1,Burnley
Norwich City,        3,2,Manchester City
AFC Bournemouth,          3,1,Everton
Watford,             2,2,Arsenal
Aston Villa,         0,0,West Ham United
Southampton,         1,3,AFC Bournemouth
Leicester City,      2,1,Tottenham Hotspur
Manchester City,     8,0,Watford
Everton,             0,2,Sheffield United
Burnley,             2,0,Norwich City
Newcastle United,    0,0,Brighton & Hove Albion
West Ham United,     2,0,Manchester United
Crystal Palace,      1,1,Wolverhampton Wanderers
Arsenal,             3,2,Aston Villa
Chelsea,             1,2,Liverpool
Sheffield United,    0,1,Liverpool
Wolverhampton Wanderers,2,0,Watford
Aston Villa,         2,2,Burnley
Chelsea,             2,0,Brighton & Hove Albion
Tottenham Hotspur,   2,1,Southampton
Crystal Palace,      2,0,Norwich City
AFC Bournemouth,          2,2,West Ham United
Everton,             1,3,Manchester City
Leicester City,      5,0,Newcastle United
Manchester United,   1,1,Arsenal
Brighton & Hove Albion,3,0,Tottenham Hotspur
Liverpool,           2,1,Leicester City
Norwich City,        1,5,Aston Villa
Burnley,             1,0,Everton
Watford,             0,0,Sheffield United
West Ham United,     1,2,Crystal Palace
Manchester City,     0,2,Wolverhampton Wanderers
Arsenal,             1,0,AFC Bournemouth
Southampton,         1,4,Chelsea
Newcastle United,    1,0,Manchester United
Everton,             2,0,West Ham United
Wolverhampton Wanderers,1,1,Southampton
Aston Villa,         2,1,Brighton & Hove Albion
Chelsea,             1,0,Newcastle United
Tottenham Hotspur,   1,1,Watford
Leicester City,      2,1,Burnley
AFC Bournemouth,     0,0,Norwich City
Crystal Palace,      0,2,Manchester City
Manchester United,   1,1,Liverpool
Sheffield United,    1,0,Arsenal
Southampton,         0,9,Leicester City
Manchester City,     3,0,Aston Villa
West Ham United,     1,1,Sheffield United
Brighton & Hove Albion,3,2,Everton
Watford,             0,0,AFC Bournemouth
Burnley,             2,4,Chelsea
Newcastle United,    1,1,Wolverhampton Wanderers
Liverpool,           2,1,Tottenham Hotspur
Arsenal,             2,2,Crystal Palace
Norwich City,        1,3,Manchester United
AFC Bournemouth,     1,0,Manchester United
Brighton & Hove Albion,2,0,Norwich City
Aston Villa,         1,2,Liverpool
Manchester City,     2,1,Southampton
Arsenal,             1,1,Wolverhampton Wanderers
Sheffield United,    3,0,Burnley
West Ham United,     2,3,Newcastle United
Watford,             1,2,Chelsea
Crystal Palace,      0,2,Leicester City
Everton,             1,1,Tottenham Hotspur
Norwich City,        0,2,Watford
Chelsea,             2,0,Crystal Palace
Newcastle United,    2,1,AFC Bournemouth
Tottenham Hotspur,   1,1,Sheffield United
Burnley,             3,0,West Ham United
Southampton,         1,2,Everton
Leicester City,      2,0,Arsenal
Wolverhampton Wanderers,2,1,Aston Villa
Manchester United,   3,1,Brighton & Hove Albion
Liverpool,           3,1,Manchester City
West Ham United,     2,3,Tottenham Hotspur
Arsenal,             2,2,Southampton
Everton,             0,2,Norwich City
Crystal Palace,      1,2,Liverpool
Brighton & Hove Albion,0,2,Leicester City
Watford,             0,3,Burnley
AFC Bournemouth,          1,2,Wolverhampton Wanderers
Manchester City,     2,1,Chelsea
Sheffield United,    3,3,Manchester United
Aston Villa,         2,0,Newcastle United
Newcastle United,    2,2,Manchester City
Liverpool,           2,1,Brighton & Hove Albion
Chelsea,             0,1,West Ham United
Tottenham Hotspur,   3,2,AFC Bournemouth
Burnley,             0,2,Crystal Palace
Southampton,         2,1,Watford
Wolverhampton Wanderers,1,1,Sheffield United
Norwich City,        2,2,Arsenal
Manchester United,   2,2,Aston Villa
Leicester City,      2,1,Everton
Crystal Palace,      1,0,AFC Bournemouth
Burnley,             1,4,Manchester City
Wolverhampton Wanderers,2,0,West Ham United
Manchester United,   2,1,Tottenham Hotspur
Leicester City,      2,0,Watford
Chelsea,             2,1,Aston Villa
